z0,z1,phase
3.722055,-0.803132,cornering
3.747489,-0.678022,cornering
3.773506,-0.547583,cornering
3.800004,-0.411803,cornering
3.826898,-0.270762,cornering
3.854062,-0.124594,cornering
3.881314,0.026506,cornering
3.908477,0.182237,cornering
3.935319,0.342220,cornering
3.961579,0.505986,cornering
3.986965,0.672974,cornering
4.011149,0.842544,cornering
4.033828,1.013945,cornering
4.054643,1.186392,cornering
4.073233,1.359055,cornering
4.089299,1.531041,cornering
4.102510,1.701489,cornering
4.112564,1.869556,cornering
4.119249,2.034402,cornering
4.122349,2.195290,cornering
4.121707,2.351543,cornering
4.117228,2.502573,cornering
4.108866,2.647888,cornering
4.096628,2.787084,cornering
4.080567,2.919859,cornering
4.060770,3.046001,cornering
4.037410,3.165340,cornering
3.997772,3.290241,cornering
3.939833,3.419827,cornering
3.866740,3.548877,cornering
3.778848,3.675720,cornering
3.676296,3.799076,cornering
3.559104,3.917934,cornering
3.427206,4.031503,cornering
3.280567,4.139115,cornering
3.119197,4.240233,cornering
2.943223,4.334423,cornering
2.752965,4.421320,cornering
2.548926,4.500690,cornering
2.331949,4.572321,cornering
2.103153,4.636129,cornering
1.864029,4.692075,cornering
1.616381,4.740223,cornering
1.362339,4.780689,cornering
1.104285,4.813645,cornering
0.844776,4.839314,cornering
0.586432,4.857968,cornering
0.331875,4.869872,cornering
0.083564,4.875365,cornering
-0.156245,4.874777,cornering
-0.385552,4.868396,cornering
-0.602717,4.856533,cornering
-0.806428,4.839417,cornering
-0.995747,4.817259,cornering
-1.170049,4.790152,cornering
-1.329015,4.758123,cornering
-1.472598,4.721133,cornering
-1.600936,4.679047,cornering
-1.714307,4.631639,cornering
-1.813114,4.578662,cornering
-1.897790,4.519778,cornering
-1.968809,4.454633,cornering
-2.026642,4.382826,cornering
-2.580753,4.560937,cornering
-2.638278,4.481020,cornering
-2.674700,4.390473,cornering
-2.708250,4.298939,cornering
-2.738360,4.205898,cornering
-2.764592,4.110812,cornering
-2.786564,4.013078,cornering
-2.803970,3.912086,cornering
-2.816567,3.807235,cornering
-2.824127,3.697877,cornering
-2.826501,3.583431,cornering
-2.823569,3.463331,cornering
-2.815265,3.337054,deploy
-2.801568,3.204133,deploy
-2.782516,3.064171,deploy
-2.758192,2.916846,deploy
-2.728778,2.761986,deploy
-2.694464,2.599482,deploy
-2.655541,2.429422,deploy
-2.612332,2.252046,deploy
-4.683187,1.422233,deploy
-4.669461,1.202965,deploy
-4.651433,0.981665,deploy
-4.629045,0.760075,deploy
-4.602348,0.540001,deploy
-4.571454,0.323168,deploy
-4.536556,0.111164,deploy
-4.497921,-0.094634,deploy
-4.455919,-0.293040,deploy
-4.410978,-0.483126,deploy
-4.363558,-0.664214,deploy
-4.314184,-0.835811,deploy
-4.263366,-0.997649,deploy
-4.211636,-1.149605,deploy
-4.159518,-1.291674,deploy
-4.107493,-1.423991,deploy
-4.056005,-1.546773,deploy
-4.005504,-1.660249,deploy
-3.956361,-1.764745,deploy
-3.908905,-1.860619,deploy
-3.863459,-1.948195,deploy
-3.820259,-2.027883,deploy
-3.779522,-2.100062,deploy
-3.741440,-2.165094,deploy
-3.706160,-2.223355,deploy
-3.673773,-2.275230,deploy
-3.644372,-2.321065,deploy
-3.617993,-2.361222,deploy
-3.594667,-2.396026,deploy
-3.574361,-2.425833,deploy
-3.557075,-2.450925,deploy
-3.542756,-2.471601,deploy
-3.531315,-2.488184,deploy
-3.522689,-2.500918,deploy
-3.516767,-2.510084,deploy
-3.513440,-2.515939,deploy
-3.512579,-2.518730,deploy
-3.514064,-2.518677,deploy
-3.517731,-2.516045,deploy
-3.523457,-2.511020,deploy
-3.531075,-2.503836,deploy
-3.540417,-2.494724,deploy
-3.551348,-2.483850,deploy
-3.563694,-2.471435,deploy
-3.577294,-2.457672,deploy
-3.591987,-2.442755,deploy
-3.607615,-2.426873,deploy
-3.624034,-2.410190,deploy
-3.641067,-2.392922,deploy
-3.658580,-2.375228,deploy
-3.676429,-2.357279,deploy
-3.694476,-2.339244,deploy
-3.712592,-2.321283,deploy
-3.730651,-2.303554,deploy
-3.748538,-2.286210,deploy
