threshold,fpr,tpr
6.04445934,0.00000000,0.28833333
6.02394962,0.00000000,0.28916667
6.02060556,0.00000000,0.29000000
6.01407385,0.00000000,0.29083333
6.00076389,0.00000000,0.29166667
6.00006771,0.00000000,0.29250000
5.99977827,0.00000000,0.29333333
5.99927950,0.00000000,0.29416667
5.99820662,0.00000000,0.29500000
5.99092770,0.00000000,0.29583333
5.98539066,0.00000000,0.29666667
5.97844315,0.00000000,0.29750000
5.97234964,0.00000000,0.29833333
5.94767809,0.00000000,0.29916667
5.94245672,0.00000000,0.30000000
5.94098663,0.00000000,0.30083333
5.93979406,0.00000000,0.30166667
5.93512011,0.00000000,0.30250000
5.92440557,0.00000000,0.30333333
5.92172241,0.00000000,0.30416667
5.92131662,0.00000000,0.30500000
5.91803646,0.00000000,0.30583333
5.91597509,0.00000000,0.30666667
5.91228390,0.00000000,0.30750000
5.91207218,0.00000000,0.30833333
5.91098070,0.00000000,0.30916667
5.89957809,0.00000000,0.31000000
5.89956284,0.00000000,0.31083333
5.88197994,0.00000000,0.31166667
5.87777090,0.00000000,0.31250000
5.87595654,0.00000000,0.31333333
5.86669636,0.00000000,0.31416667
5.86641550,0.00000000,0.31500000
5.85079479,0.00000000,0.31583333
5.84823561,0.00000000,0.31666667
5.84641647,0.00000000,0.31750000
5.84456539,0.00000000,0.31833333
5.83676624,0.00000000,0.31916667
5.83027220,0.00000000,0.32000000
5.82991743,0.00000000,0.32083333
5.82478476,0.00000000,0.32166667
5.80023193,0.00000000,0.32250000
5.79737949,0.00000000,0.32333333
5.78822088,0.00000000,0.32416667
5.78217268,0.00000000,0.32500000
5.77199697,0.00000000,0.32583333
5.76517248,0.00000000,0.32666667
5.76101637,0.00000000,0.32750000
5.76054525,0.00000000,0.32833333
5.74646425,0.00000000,0.32916667
5.73766994,0.00000000,0.33000000
5.73486805,0.00000000,0.33083333
5.73310947,0.00000000,0.33166667
5.73154116,0.00000000,0.33250000
5.72911024,0.00000000,0.33333333
5.72506094,0.00000000,0.33416667
5.71943617,0.00000000,0.33500000
5.70919657,0.00000000,0.33583333
5.70372343,0.00000000,0.33666667
5.69322634,0.00000000,0.33750000
